receiptId, customerId, subtotal, salesTax, totalSale, costExpenditure, profit, sellMade,
1,0,300.0,27.0,327.0,225.0,75.0,1/30/2019,
2,0,275.0,24.75,299.75,180.0,95.0,1/30/2020,
3,8,136.0,12.24,148.24,63.0,73.0,1/30/2021,
4,5,196.0,17.64,213.64,83.0,113.0,1/31/2022,
5,5,110.0,9.9,119.9,50.0,60.0,2/1/2022,
6,5,165.0,14.85,179.85,80.0,85.0,3/1/2022,
7,9,47.0,4.23,51.23,23.0,24.0,4/2/2022,
8,7,60.0,5.4,65.4,30.0,30.0,5/3/2022,
9,6,101.0,9.09,110.09,48.0,53.0,6/3/2022,
10,0,113.0,10.17,123.17,52.0,61.0,7/3/2022,
11,8,92.0,8.28,100.28,43.0,49.0,8/4/2022,
12,7,115.0,10.35,125.35,52.0,63.0,9/5/2022,
13,7,165.0,14.85,179.85,75.0,90.0,10/6/2022,
14,0,15.0,1.35,16.35,7.0,8.0,11/7/2022,
15,0,42.0,3.78,45.78,20.0,22.0,11/8/2022,
16,8,175.0,15.75,190.75,85.0,90.0,11/9/2022,
17,6,33.0,2.97,35.97,9.0,24.0,11/9/2022,
18,5,35.0,3.15,38.15,17.0,18.0,11/10/2022,
19,0,42.0,3.78,45.78,21.0,21.0,11/11/2022,
20,0,57.0,5.13,62.13,23.0,34.0,11/12/2022,
21,0,143.0,12.87,155.87,66.0,77.0,11/13/2022,
22,0,40.0,3.6,43.6,20.0,20.0,11/14/2022,
23,0,35.0,3.15,38.15,15.0,20.0,11/15/2022,
24,0,30.0,2.7,32.7,15.0,15.0,11/16/2022,
25,0,125.0,11.25,136.25,62.0,63.0,11/17/2022,
26,0,32.0,2.88,34.88,16.0,16.0,11/18/2022,
27,0,45.0,4.05,49.05,17.0,28.0,11/19/2022,
28,5,510.0,45.9,555.9,246.0,264.0,11/20/2022,
29,5,681.0,61.29,742.29,324.0,357.0,11/21/2022,
30,5,311.0,27.99,338.99,157.0,154.0,11/22/2022,
31,5,265.0,23.85,288.85,128.0,137.0,11/23/2022,
32,5,156.0,14.04,170.04,78.0,78.0,11/24/2022,
33,6,200.0,18.0,218.0,95.0,105.0,11/25/2022,
